No,Mission,Sat_ver,COSPAR_ID,Launch_date_time_UTC,Launch_site,Orbit_altitude,Orbit_inclination,Satellites_deployed,Satellites_w_DtC,Satellites_working,Outcome,Remarks,Launch_date
219,Group 11-3,v2 mini,2024-251,"29 December 2024, 01:58","Vandenberg,SLC-4E",535 km (332 mi),53.00°,22,,22,Success,,2024-12-29
217,Group 11-2,v2 mini,2024-239,"13 December 2024, 21:55","Vandenberg,SLC-4E",535 km (332 mi),53.00°,22,13.0,22,Success,,2024-12-13
184,Group 11-1,v2 mini,2024-138,"4 August 2024, 07:24","Vandenberg,SLC-4E",535 km (332 mi),53.00°,23,,23,Success,,2024-08-04
279,Group 10-34,v2 mini,2025-139,"28 June 2025, 04:26","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,27,,27,Success,,2025-06-28
267,Group 10-32,v2 mini,2025-113,"28 May 2025, 13:30","Kennedy,LC-39A",279 km (173 mi),53.16°,27,,27,Success,,2025-05-28
282,Group 10-28,v2 mini,2025-147,"8 July 2025, 08:21","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,28,,28,Success,,2025-07-08
281,Group 10-25,v2 mini,2025-144,"2 July 2025, 06:28","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,27,,27,Success,,2025-07-02
277,Group 10-23,v2 mini,2025-133,"23 June 2025, 05:58","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,27,,27,Success,,2025-06-23
276,Group 10-18,v2 mini,2025-130,"18 June 2025, 05:55","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,28,,28,Success,,2025-06-18
278,Group 10-16,v2 mini,2025-137,"25 June 2025, 19:54","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,27,,27,Success,,2025-06-25
201,Group 10-13,v2 mini,2024-196,"30 October 2024, 21:10","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,23,,23,Success,,2024-10-30
235,Group 10-12,v2 mini,2025-034,"18 February 2025, 23:21","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,23,,23,Success,,2025-02-18
195,Group 10-10,v2 mini,2024-183,"15 October 2024, 06:10","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,23,,23,Success,,2024-10-15
180,Group 10-9,v2 mini,2024-131,"27 July 2024, 05:45","Kennedy,LC-39A",279 km (173 mi),53.16°,23,,23,Success,,2024-07-27
199,Group 10-8,v2 mini,2024-193,"26 October 2024, 21:47","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,22,,22,Success,,2024-10-26
186,Group 10-7,v2 mini,2024-144,"12 August 2024, 10:37","Kennedy,LC-39A",279 km (173 mi),53.16°,23,,23,Success,,2024-08-12
183,Group 10-6,v2 mini,2024-136,"2 August 2024, 05:01","Kennedy,LC-39A",279 km (173 mi),53.16°,23,,23,Success,,2024-08-02
187,Group 10-5,v2 mini,2024-150,"20 August 2024, 13:20","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,22,,22,Success,,2024-08-20
181,Group 10-4,v2 mini,2024-132,"28 July 2024, 04:17","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,23,,23,Success,,2024-07-28
177,Group 10-3,v2 mini,2024-120,"27 June 2024, 11:14","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,23,,23,Success,,2024-06-27
175,Group 10-2,v2 mini,2024-117,"23 June 2024, 17:15","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,22,,22,Success,,2024-06-23
172,Group 10-1,v2 mini,2024-111,"8 June 2024, 01:56","Cape Canaveral,SLC-40",279 km (173 mi),53.16°,22,,22,Success,,2024-06-08
193,Group 9-17,v2 mini,2024-171,"20 September 2024, 13:50","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-09-20
215,Group 9-14,v2 mini,2024-231,"5 December 2024, 03:05","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-12-05
209,Group 9-13,v2 mini,2024-217,"24 November 2024, 05:25","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-11-24
207,Group 9-12,v2 mini,2024-213,"18 November 2024, 05:53","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-11-18
205,Group 9-11,v2 mini,2024-209,"14 November 2024, 05:23","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-11-14
203,Group 9-10,v2 mini,2024-204,"9 November 2024, 06:14","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-11-09
200,Group 9-9,v2 mini,2024-195,"30 October 2024, 12:07","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,200th launch of dedicated starlink missions.,2024-10-30
194,Group 9-8,v2 mini,2024-175,"25 September 2024, 04:01","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-09-25
196,Group 9-7,v2 mini,2024-184,"15 October 2024, 08:21","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-10-15
192,Group 9-6,v2 mini,2024-164,"13 September 2024, 01:45","Vandenberg,SLC-4E",535 km (332 mi),53.00°,21,13.0,21,Success,,2024-09-13
190,Group 9-5,v2 mini,2024-155,"31 August 2024, 08:48","Vandenberg,SLC-4E",535 km (332 mi),53.00°,21,13.0,21,Success,,2024-08-31
182,Group 9-4,v2 mini,2024-133,"28 July 2024, 07:24","Vandenberg,SLC-4E",535 km (332 mi),53.00°,21,13.0,21,Success,,2024-07-28
179,Group 9-3,v2 mini,2024-129,"12 July 2024, 02:39","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,0,Failure,"Experienced launch failure. During launch a liquid oxygen leak developed, causing the upper stage to fail during the second burn.The satellites were left in a very low, unusable orbit.",2024-07-12
176,Group 9-2,v2 mini,2024-118,"24 June 2024, 03:47","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-06-24
174,Group 9-1,v2 mini,2024-113,"19 June 2024, 03:40","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-06-19
197,Group 8-19,v2 mini,2024-187,"18 October 2024, 23:31","Cape Canaveral,SLC-40",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-10-18
191,Group 8-11,v2 mini,2024-158,"5 September 2024, 15:33","Cape Canaveral,SLC-40",535 km (332 mi),53.00°,21,13.0,21,Success,,2024-09-05
189,Group 8-10,v2 mini,2024-154,"31 August 2024, 07:43","Cape Canaveral,SLC-40",535 km (332 mi),53.00°,21,13.0,21,Success,,2024-08-31
178,Group 8-9,v2 mini,2024-124,"3 July 2024, 08:55","Cape Canaveral,SLC-40",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-07-03
173,Group 8-8,v2 mini,2024-112,"8 June 2024, 12:58","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-06-08
165,Group 8-7,v2 mini,2024-091,"14 May 2024, 18:39","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-05-14
188,Group 8-6,v2 mini,2024-152,"28 August 2024, 06:54","Cape Canaveral,SLC-40",535 km (332 mi),53.00°,21,13.0,21,Success,,2024-08-28
171,Group 8-5,v2 mini,2024-107,"5 June 2024, 02:16","Cape Canaveral,SLC-40",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-06-05
185,Group 8-3,v2 mini,2024-141,"10 August 2024, 12:50","Cape Canaveral,SLC-40",535 km (332 mi),53.00°,21,13.0,21,Success,,2024-08-10
163,Group 8-2,v2 mini,2024-088,"10 May 2024, 04:30","Vandenberg,SLC-4E",535 km (332 mi),53.00°,20,13.0,20,Success,,2024-05-10
153,Group 8-1,v2 mini,2024-065,"7 April 2024, 02:25","Vandenberg,SLC-4E",535 km (332 mi),53.00°,21,6.0,21,Success,,2024-04-07
151,Group 7-18,v2 mini,2024-062,"2 April 2024, 02:30","Vandenberg,SLC-4E",525 km (326 mi),53.05°,22,,22,Success,,2024-04-02
145,Group 7-17,v2 mini,2024-046,"11 March 2024, 04:09","Vandenberg,SLC-4E",525 km (326 mi),53.05°,23,,23,Success,,2024-03-11
147,Group 7-16,v2 mini,2024-050,"19 March 2024, 02:28","Vandenberg,SLC-4E",525 km (326 mi),53.05°,20,,20,Success,Rideshare satellites: Two Starshield satellites.,2024-03-19
140,Group 7-15,v2 mini,2024-036,"23 February 2024, 04:11","Vandenberg,SLC-4E",525 km (326 mi),53.05°,22,,22,Success,,2024-02-23
139,Group 7-14,v2 mini,2024-031,"15 February 2024, 21:34","Vandenberg,SLC-4E",525 km (326 mi),53.05°,22,,22,Success,,2024-02-15
138,Group 7-13,v2 mini,2024-027,"10 February 2024, 00:34","Vandenberg,SLC-4E",525 km (326 mi),53.05°,22,,21,Success,,2024-02-10
137,Group 7-12,v2 mini,2024-020,"29 January 2024, 05:02","Vandenberg,SLC-4E",525 km (326 mi),53.05°,22,,22,Success,,2024-01-29
135,Group 7-11,v2 mini,2024-017,"24 January 2024, 00:35","Vandenberg,SLC-4E",525 km (326 mi),53.05°,22,,22,Success,,2024-01-24
133,Group 7-10,v2 mini,2024-011,"14 January 2024, 08:59","Vandenberg,SLC-4E",525 km (326 mi),53.05°,22,,22,Success,,2024-01-14
131,Group 7-9,v2 mini,2024-002,"3 January 2024, 03:44","Vandenberg,SLC-4E",525 km (326 mi),53.05°,21,6.0,21,Success,"First with Direct to Cell capability, allowing satellites to act as a cellphone tower in space, allowing network integration similar to a standard roaming partner",2024-01-03
127,Group 7-8,v2 mini,2023-192,"8 December 2023, 08:03","Vandenberg,SLC-4E",525 km (326 mi),53.05°,22,,22,Success,,2023-12-08
122,Group 7-7,v2 mini,2023-178,"20 November 2023, 10:30","Vandenberg,SLC-4E",525 km (326 mi),53.05°,22,,22,Success,,2023-11-20
117,Group 7-6,v2 mini,2023-166,"29 October 2023, 09:00","Vandenberg,SLC-4E",525 km (326 mi),53.05°,22,,22,Success,,2023-10-29
115,Group 7-5,v2 mini,2023-161,"21 October 2023, 08:23","Vandenberg,SLC-4E",525 km (326 mi),53.05°,21,,21,Success,,2023-10-21
112,Group 7-4,v2 mini,2023-156,"9 October 2023, 07:23","Vandenberg,SLC-4E",525 km (326 mi),53.05°,21,,21,Success,,2023-10-09
109,Group 7-3,v2 mini,2023-148,"25 September 2023, 08:48","Vandenberg,SLC-4E",525 km (326 mi),53.05°,21,,21,Success,,2023-09-25
105,Group 7-2,v2 mini,2023-141,"12 September 2023, 06:57","Vandenberg,SLC-4E",525 km (326 mi),53.05°,21,,21,Success,,2023-09-12
100,Group 7-1,v2 mini,2023-124,"22 August 2023, 09:37","Vandenberg,SLC-4E",525 km (326 mi),53.05°,21,,21,Success,,2023-08-22
256,Group 6-93,v2 mini,2025-093,"7 May 2025, 01:17","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,28,,28,Success,,2025-05-07
258,Group 6-91,v2 mini,2025-095,"10 May 2025, 06:28","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,28,,28,Success,,2025-05-10
255,Group 6-84,v2 mini,2025-092,"4 May 2025, 08:54","Kennedy,LC-39A",559 km (347 mi),43.0°,29,,29,Success,,2025-05-04
260,Group 6-83,v2 mini,2025-099,"13 May 2025, 05:02","Kennedy,LC-39A",559 km (347 mi),43.0°,28,,28,Success,,2025-05-13
244,Group 6-80,v2 mini,2025-065,"31 March 2025, 19:52","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,28,,28,Success,,2025-03-31
202,Group 6-77,v2 mini,2024-202,"7 November 2024, 20:19","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,23,,23,Success,,2024-11-07
211,Group 6-76,v2 mini,2024-222,"27 November 2024, 04:41","Kennedy,LC-39A",559 km (347 mi),43.0°,24,,24,Success,,2024-11-27
254,Group 6-75,v2 mini,2025-091,"2 May 2025, 01:51","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,28,,28,Success,,2025-05-02
250,Group 6-74,v2 mini,2025-083,"25 April 2025, 01:52","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,28,,28,Success,,2025-04-25
249,Group 6-73,v2 mini,2025-076,"14 April 2025, 04:00","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,27,,27,Success,,2025-04-14
246,Group 6-72,v2 mini,2025-070,"6 April 2025, 03:07","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,28,,28,Success,,2025-04-06
221,Group 6-71,v2 mini,2025-003,"6 January 2025, 20:43","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,24,,24,Success,,2025-01-06
214,Group 6-70,v2 mini,2024-229,"4 December 2024, 10:13","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,24,,24,Success,,2024-12-04
204,Group 6-69,v2 mini,2024-207,"11 November 2024, 21:28","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,24,,24,Success,,2024-11-11
206,Group 6-68,v2 mini,2024-210,"14 November 2024, 13:21","Cape Canaveral,SLC-40",559 km (347 mi),43.0°,24,,24,Success,,2024-11-14
